iDISK_ID,Name,CUI,Background,Safety,Mechanism of action,Source Material,Common Names,NHP_Name,DSLD_Name,MSKCC_Name,NM_Name
DSI002960,Rubus ursinus,C1031025,,,,Fruit,,Rubus ursinus,Rubus ursinus,,
DSI002961,Malpighia,C1001067,,,,Fruit | Fruit,,Malpighia punicifolia | Malpighia punicifolia linne,,,
DSI002962,Acidum nitricum,,,,,Nitric acid,,Acidum nitricum,,,
DSI002963,Histaminum dihydrochloricum,,,,,,,Histaminum dihydrochloricum,,,
DSI002964,Sodium copper chlorophyllin,C0951590,,,,English Alfalfa,,Sodium copper chlorophyllin,,,
DSI002965,Barium iodatum,,,,,Barium iodide,,Barium iodatum,,,
DSI002966,Liver,C0023899,,,,Bovine | Bovine liver,,Liquid Liver Fractions | Liver | Desiccated Liver,Fish Liver oil | Liver,,
DSI002967,Spigelia,C0331077,,,,Dried aerial part(s) | Plante entière,,Spigelia | Spigelia marylandica,,,
DSI002968,Stibium,C1950432,,,,Antimony(III) sulfide | Mixture of antimony(V) sulfide and sulfur | Antimony,,Stibium sulfuratum nigrum | Stibium sulfuratum aurantiacum | Stibium metallicum,,,
DSI002969,oyster,C0722378,,,,Oyster meat,,Giant Pacific oyster,Oyster | oyster,,
DSI002970,Acidum hydrofluoricum,,,,,Hydrofluoric acid,,Acidum hydrofluoricum,,,
DSI002971,Robinia pseudoacacia,C0330800,,,,Bark of young twigs,,Robinia pseudoacacia,Black Locust,,
DSI002972,Asarum europaeum,C1083187,,,,Whole plant,,Asarum europaeum,,,
DSI002973,Gadus morhua,,,,,,,Gadus morhua,,,
DSI002974,Co Q10,,,,,Synthetic,,Co Q10,,,
DSI002975,Celosia argentea,C1012404,,,,Seed(s),,Celosia argentea,,,
DSI002976,Magnetitum,,,,,Mineral,,Magnetitum,Magnetitum,,
DSI002977,Holotrichia diomphalia,,,,,Dried body (stir-baked),,Holotrichia diomphalia,,,
DSI002978,Tabanus,,,,,"Dried body (remove from wings and feet, stir-baked)",,Tabanus,,,
DSI002979,Toxicodendron vernicifluum,C0330959,,,,Stem resin,,Toxicodendron vernicifluum,,,
DSI002980,Halloysitum rubrum,,,,,Mineral of silicates,,Halloysitum rubrum,,,
DSI002981,Dipsacus asperoides,C1205255,,,,Root,,Dipsacus asperoides,,,
DSI002982,eucalyptin,C1100150,,,,Leaf/Leaves,,Oleum eucalypti,,,
DSI002983,Ostrea gigas,,,,,,,Ostrea gigas,,,
DSI002984,Pullus cum osse Nigro,,,,,,,Pullus cum osse Nigro,,,
DSI002985,Stellaria dichotoma,C5802060,,,,Root,,Stellaria dichotoma,Stellaria dichotoma,,
DSI002986,Trionyx sinensis Wiegmann,,,,,Shell,,Trionyx sinensis Wiegmann,,,
DSI002987,D-phenylalanine,,,,,,,D-phenylalanine,D-phenylalanine,,
DSI002988,Mercurius praecipitatus ruber,C4733910,,,,Red mercuric oxide,,Mercurius praecipitatus ruber,,,
DSI002989,Sticta,,,,,Dried thallus,,Sticta,,,
DSI002990,S-Adenosyl-L-Methionine Disulfate Tosylate,C2347987,,,,,,S-Adenosyl-L-Methionine-Tosylate Disulfate,,,
DSI002991,Valerianna,,,,,,,Valerianna,,,
DSI002992,Lycopodium,C0996555,,,,Dried ripe spores,,Lycopodium,Lycopodium (unspecified),,
DSI002993,Filix,,,,,Fresh rhisome collected in autumn with attached leaf bases and without roots,,Filix,,,
DSI002994,"1,2-dithiolane",C1120807,,,,Synthetic,,"1,2-dithiolane-3R-pentanoic acid | 1,2-dithiolane-3R, S-pentanoic acid",,,
DSI002995,Cocculus,C1000694,,,,Ripe dried fruits,,Cocculus,,,
DSI002996,Acidum picrinicum,,,,,Picric acid,,Acidum picrinicum,,,
DSI002997,Sparganium stoloniferum,C1483564,,,,Rhizome,,Sparganium stoloniferum,,,
DSI002998,Coix lacryma-jobi,C0997160,,,,Seed(s),,Coix lacryma-jobi,,,
DSI002999,Massa Medicata Fermentata,,,,,"Xanthium sibiricum,",,Massa Medicata Fermentata,,,
DSI003000,Ophiopogon,C4321379,,,,Root tuber(s) | Tuberous root,,Ophiopogon | Radix Ophiopogonis | Tuber Ophiopogonis japonici,Ophiopogon,,
DSI003001,2-(hydroxyethyl)trimethylammonium,,,,,Choline bitartrate,,2-(hydroxyethyl)trimethylammonium,,,
DSI003002,ispaghula,C0282328,,,,Husk,,Plantago ispaghula,,,
DSI003003,Saponaria,C0330381,,,,Root,,Saponaria,,,
DSI003004,Commiphora molmol,C1536360,,,,Resin,,Commiphora molmol,,,
DSI003005,Mussaenda pubescens,C1477518,,,,Stem(s),,Mussaenda pubescens,,,
DSI003006,Vigna radiata,C1095592,,,,Sprout(s),,Vigna radiata,,,
DSI003007,Bryonia dioica,C0446276,,,,Root,,Bryonia dioica,,,
DSI003008,Ligusticum wallichii,C4335423,,,,Root,,Ligusticum wallichii,,,
DSI003009,Laurus,C0949799,,,,Ascorbyl palmitate,,Laurus variifolia,,,
DSI003010,Ubiquinone-10,,,,,Yeast cells,,Ubiquinone-10,,,
DSI003011,Sodium Salicylate,C0037549,,,,,,Sodium Salicylate,,,
DSI003012,Ammonium hydroxide,C0051719,,,,Ammonium hydroxide,,Ammonium hydroxide,Ammonium Hydroxide,,
DSI003013,Turpentine Oil,C0041411,,,,Turpentine oil | Resin | Resin of Pine,,Turpentine Oil | Turpentine | Oil of turpentine,,,
DSI003014,Chitosan,C0162969,"Chitosan (KY-to-san) is a derivative of chitin, extracted from the exoskeleton of crustaceans, including shrimp, lobster, and clams, and from the cell wall of reishi mushrooms . Chitosan is used as an excipient in pharmaceutical formulations and in biomedical applications including wound dressings. It is also made into an edible film to protect food from spoilage . Chitosan is marketed as an all-natural marine fiber to help manage weight and cholesterol. Animal models suggest antiobesity properties with chitosan and derivative products . In one animal study, a combination of capsaicin and chitosan increased this activity . Findings from human studies are conflicting. Although marketers of weight loss supplements claim chitosan can bind with fat in the intestine, some clinical trials did not find any increase in fecal excretion of fat or weight loss compared with placebo . Other studies have had more positive results in combination with additional products or interventions . Various studies and meta-analyses suggest chitosan may decrease diastolic blood pressure at higher dosages , improve serum lipid profiles , and have some benefit on glycemic regulation . Benefit on weight management are mixed . More trials are needed before definitive conclusions can be drawn. Chitosan may increase total plasma antioxidant activity and lower oxidative stress . Limited clinical data are available regarding efficacy for anemia or chronic renal failure . Reported adverse events include constipation and gastrointestinal distress . Patients allergic to shellfish or mushrooms should use related supplements with caution.",,"Chitosan is a natural polysaccharide that consists of glucosamine and N-acetylglucosamine copolymers (14). It has been described as biodegradable, nontoxic, non-immunogenic, and biocompatible (25), with properties similar to cellulose (2).
In an in vitro study, chitosan demonstrated antioxidant effects by reducing albumin carobonyls and hydroperoxides in a time-dependent manner (9).
In animal models, antiobesity effects may occur through serum leptin and C-reactive protein modulation (14) or AMPK activation and lipogenesis-associated gene inhibition (15). In porcine models, chitosan altered genes influencing appetite and feeding behavior in the small intestine (NPY), adipose tissue (Leptin), and the brain (HCRT, INSR, NMB, GHR, PPARG, NPY5R) (17). It also downregulated FABP2 gene expression, increased serum leptin, and significantly altered gut microbial populations (16). In high-fat diet-induced obese rodents, chitosan oligosaccharides improved dyslipidemia and prevented body weight gain by inhibiting adipocyte differentiation (19). As an insoluble fiber, low molecular weight chitosan polyglucosamines can bind to fat in the intestinal lumen, forming a complex that is partially utilized by colon bacteria and partially eliminated (22) (26) (27), but appropriate concentrations are needed. In one of these animal studies, it was suggested that the more likely mechanisms for weight loss could include bacterial energy wasting, as increased acetate and glucose excretion were also present, suggesting that larger amounts of lipids and glucose were available as fuel for bacteria in the colon (26).
Hypocholesterolemic effects from chitosan in murine models were not due to reduced cholesterol absorption efficiency or increases in fecal sterol output, so that a major bile acid-binding capacity was ruled out (28). The more likely scenario is that the fiber’s influence on satiation and satiety reduces food intake suppression and therefore cholesterol (29).
Human studies suggest that it is unlikely that chitosan binds fat in intestines, and could therefore not support this purported mechanism of action (21) (30).
Topical application enhances wound healing by stimulation of granulation tissue. Possible mechanisms include formation of a gel-like fibronectin matrix that facilitates inward epithelial cell migration and the formation of heparin-chitosan complexes that activate growth factors that bind to stabilized heparin (12).",Shrimp shell,Kitosan | Chitin | Polyglucosamine,Chitosan,Chitosan,Chitosan,
DSI003015,Millettia speciosa,C1209785,,,,Root | Root,,Millettia speciosa | Callerya speciosa,,,
DSI003016,2-hydroxy-3-sulphopropyl)dimethyl(3-((1-oxododecyl)amino)propyl)ammonium,,,,,"Root
 tuber(s)",,2-hydroxy-3-sulphopropyl)dimethyl(3-((1-oxododecyl)amino)propyl)ammonium,,,
DSI003017,Macadamia,C0997063,,,,Seed oil,,Macadamia Integrifolia,Macadamia,,
DSI003018,Caryophyllus,C3887872,,,,Dried whole flower buds | Caryophyllus aromaticus,,Caryophyllus | Caryophyllus extract,,,
DSI003019,Diptherinum,,,,,Diphtheria infected membrane,,Diptherinum,,,
DSI003020,Ananassa,,,,,Ripe pineapple,,Ananassa,,,
DSI003021,Parotidinum,,,,,,,Parotidinum,,,
DSI003022,Thymus suis,C4733949,,,,,,Thymus suis,,,
DSI003023,aurum chloratum,C0772428,,,,Hydrogen tetrachloroaurate (III),,Aurum chloratum,,,
DSI003024,Barium chloratum,,,,,Barium chloride dihydrate,,Barium chloratum,,,
DSI003025,Rhododendron,C0330429,,,,Dried leafy twigs,,Rhododendron,Rhododendron (unspecified),,
DSI003026,Chelidonium,C0007977,,,,Fresh rhizome and adherent roots collected during late autumn or on the appearance of the first shoots,,Chelidonium,Celandine,,
DSI003027,China,,,,,Dried bark of young twigs,,China,,,
DSI003028,Iberis,C1213721,,,,Tincture of the seeds,,Iberis Amara,,,
DSI003029,Mucor mucedo,,,,,Whole fungus,,Mucor mucedo,,,
DSI003030,Anacardium,C0330951,,,,Dried ripe fruit,,Anacardium,,,
DSI003031,Digitalis,C0012252,,,,Leaves of the second year's growth gathered before flowering | Fresh leaves from one or two-year-old specimens collected at start of flowering,,Digitalis Purpurea | Digitalis,,,
DSI003032,Kalmia,C0330414,,,,Fresh leaves,,Kalmia,Mountain Laurel,,
DSI003033,Scilla,C0331622,,,,"Fresh, fleshy scale leaves",,Scilla,,,
DSI003034,Strophanthus,C0331110,,,,,,Strophanthus,,,
DSI003035,Chlorophyllin copper complex sodium,,,,,Morus alba (mulberry) leaves,,Chlorophyllin copper complex sodium,,,
DSI003036,Apis,,,,,Live honey bees,,Apis,,,
DSI003037,Hepar sulfuris,,,,,Calcination of a mixture of Calcium carbonicum Hahnemanni and Sulfur,,Hepar sulfuris,,,
DSI003038,Marum verum,,,,,"Fresh aerial parts, without lignified sections of twig",,Marum verum,,,
DSI003039,Phytolacca,C0330332,,,,Root,,Phytolacca,,,
DSI003040,Medorrhinum,,,,,Extraction of purulent urethral secretions containing Neisseria gonorrhoeae,,Medorrhinum,,,
DSI003041,Vaccinotoxinum,C2700141,,,,Living virus of vaccinia from strain of approved origin and grown on skin of vaccinated bovine calf,,Vaccinotoxinum,,,
DSI003042,Carlina acaulis,C2642506,,,,Root,,Carlina acaulis,,,
DSI003043,Curcuma picta,C5246898,,,,Root,,Curcuma picta,,,
DSI003044,Fraxinus ornus,C1007825,,,,Rhizome resin,,Fraxinus ornus,,,
DSI003045,"Engraulidae, Scombridae and Clupeidae",,,,,,,"Engraulidae, Scombridae and Clupeidae",,,
DSI003046,Creosotum,,,,,Créosote obtenu de la distillation du goudron de bois,,Creosotum,,,
DSI003047,pentanoic acid,C0068263,,,,L-Leucine | L-isoleucine | Calcium 4-methyl-2-oxovalerate,,"Hexahydro-2-oxo-1H-thieno[3,4-d]imidazole-4-pentanoic acid | 5-(1,2-dithiolan-3-yl)pentanoic acid | L-2-amino-5-ureido-valeric acid | 2-amino-4-methyl pentanoic acid | (R)-5-(1,2-dithiolan-3-yl)pentanoic acid | 2-amino-3-methyl pentanoic acid | 2-Keto-4-methyl-pentanoic acid | (2R)-2-amino-4-methyl-pentanoic acid | (R)-dithiolane-3-pentanoic acid | 1, 2-dithiolane-3R, S-pentanoic acid",valeric acid,,
DSI003048,Thuya occidentalis,,,,,Branch Leafy,,Thuya occidentalis,,,
DSI003049,Cardiospermum halicacabum,C2990030,,,,Aerial part of flowering plant,,Cardiospermum halicacabum,,,
DSI003050,Daphne mezereum,C0330613,,,,Parties aériennes fraîches récoltées au moment de la floraison,,Daphne mezereum,,,
DSI003051,Tartarus stibiatus,,,,,Antimoniotartrate de potassium,,Tartarus stibiatus,,,
DSI003052,Spongia,,,,,Toasted marine sponge,,Spongia,,,
DSI003053,Rubus strigosus,C5754336,,,,Fruit,,Rubus strigosus,,,
DSI003054,Anamirta,C2277109,,,,"Ripe dried fruits | Tincture of the seeds, coarsely powdered",,Anamirta Cocculus | Anamirta paniculata,,,
DSI003055,Nicotiana,C0086707,,,,Leaf/Leaves,,Nicotiana Tabacum,,,
DSI003056,Theridion curassavicum,,,,,Entire living animal,,Theridion curassavicum,,,
DSI003057,Artemisia abrotanum,C1086629,,,,Jeunes pousses fraîches et feuilles,,Artemisia abrotanum,Southernwood,,
DSI003058,Aluminum zirconium octachlorohydrex gly,C3154622,,,,"Aluminum zirconium octachlorohydrate glycine | Aluminum 
zirconium octachlorohydrex glycine",,Aluminum zirconium octachlorohydrex glycine | Aluminum Zirconium Octachlorohydrex Glycine,,,
DSI003059,Platinic Chloride,,,,,,,Platinic Chloride,,,
DSI003060,Lithium Chloride,C0065088,,,,,,Lithium Chloride,,,
DSI003061,Aluminum zirconium pentachlorohydrex gly,C2979385,,,,"Aluminu
m zirconium pentachlorohydrex glycine",,Aluminum zirconium pentachlorohydrex glycine,,,
DSI003062,Fritillaria verticillata,C3908611,,,,Bulb,,Fritillaria verticillata,,,
DSI003063,Psyllium,C0033979,,,,,,Psyllium,Asian Psyllium | Blond Psyllium | Black Psyllium | Psyllium fiber | Psyllium (not specified) | Psyllium (unspecified),,
DSI003064,fomitopsis pinicola,C3489069,,,,Whole fungus,,Fomitopsis pinicola,Fomitopsis pinicola,,
DSI003065,Bifidobacterium Brevis,,,,,Whole cell,,Bifidobacterium Brevis,,,
DSI003066,"D-glucaro-1,4-lactone",C0073923,,,,,,"D-glucaro-1,4-lactone",,,
DSI003067,Cellulose,C0007648,,,,Mixed plant materials,,Cellulose,Cellulose Gel | Cellulose | Cellulose silica | Hyproxypropyl cellulose | Pectin-Cellulose | Silicated cellulose | Silica cellulose,,
DSI003068,alpha-D-glucopyranosyl-[beta-D-fructofuranosyl](n-1)-D-fructofuranosides,,,,,,,alpha-D-glucopyranosyl-[beta-D-fructofuranosyl](n-1)-D-fructofuranosides,,,
DSI003069,Solidago odora,C4333610,,,,Solidago odora - herb,,Solidago odora,,,
DSI003070,Aquilaria,C1027472,,,,Wood,,Aquilaria Sinensis,,,
DSI003071,Meretrix meretrix,,,,,"Shell, processed (cooked and calcinated)",,Meretrix meretrix,,,
DSI003072,Natrii sulfas exsiccatus,,,,,Sodium sulfate,,Natrii sulfas exsiccatus,,,
DSI003073,Sargassum,,,,,Algae,,Sargassum,Sargassum,,
DSI003074,Apolactoferrin,,,,,Cow's milk,,Apolactoferrin,,,
DSI003075,Chondrodendron tomentosum,C0330236,,,,Root,,Chondrodendron tomentosum,,,
DSI003076,Magnesium citrate,C0126774,,,,Magnesium oxide,,Magnesium citrate | Magnesium citrate tribasic,Calcium Magnesium Citrate | Magnesium citrate oxide | Magnesium Citrate | Magnesium citrate malate | Magnesium citrate laurate,,
DSI003077,(R)-4-Isopropenyl-1-methylcyclohex-1-ene,,,,,Citrus limon - Fruit peel,,(R)-4-Isopropenyl-1-methylcyclohex-1-ene,,,
DSI003078,grandifolia B,C4078013,,,,,,Tilia grandifolia,,,
DSI003079,Caffeine Anhydrous,C1170114,,,,,,Caffeine Anhydrous | Caffeine anhydrous,,,
DSI003080,Magnesium Carbonate,C0065517,,,,Poudre granuleuse de dolomite | Heavy Magnesium carbonate,,"Calcium Magnesium Carbonate | Magnesium carbonate, Heavy | Magnesium Carbonate",Magnesium carbonate,,
DSI003081,Smilax ornata,C4277519,,,,,,Smilax ornata,,,
DSI003082,Evodia lepta,C1907704,,,,Leaf | Leaf,,Evodia lepta | Melicope pteleifolia,,,
DSI003083,Murraya exotica,C1075992,,,,Leaf,,Murraya exotica,,,
DSI003084,Andrographolide,C0051821,"Andrographis paniculata is a bitter tasting annual plant prevalent in much of Asia. It is often used in combination with other herbs in traditional medicine to treat infectious diseases and associated fevers. It is also used in folk medicine to treat snakebites. Andrographis is promoted in supplemental form for cancer prevention or treatment, and to counter chemotherapy toxicity in humans. Formulations containing standardized extracts of andrographis are also marketed for colds and flu. Preclinical studies suggest antimicrobial , anti-inflammatory , antioxidant , anticancer properties. Kan Jang, a standardized extract of A. paniculata and Eleutherococcus senticosus, has been studied in manufacturer-sponsored clinical trials for relief of respiratory symptoms from cold and flu , and may help reduce severity and recovery time . An andrographis extract also appeared helpful for upper respiratory infections and meta-analyses suggest possible benefit to reduce cough frequency and severity . Andrographis has also been evaluated for ulcerative colitis. In one trial, those receiving A. paniculata extract at higher doses were more likely to achieve a clinical response compared with placebo , and another study found it as effective as mesalamine . Other preliminary data suggest andrographis extracts can reduce rheumatoid factors and arthritis symptoms . In patients with modest hypertriglyceridemia, reduced triglyceride levels with a high-dose andrographis extract were comparable to reductions with gemfibrozil . In a pilot study of patients with not-active progressive multiple sclerosis, andrographolide appeared safe and showed trends in reducing brain atrophy rates and disability progression .",,"The active constituents of andrographis are diterpenoid lactones known as andrographolides (10) (11). They exhibit anti-inflammatory activity by inhibiting NO production and COX-2 expression (26). In mouse hepatocytes, andrographis induced mRNA expression of CYP1A1 and 1A2 in a concentration-dependent manner (31). In other studies, andrographis extract demonstrated a calcium channel inhibition effect that could cause smooth muscle relaxation, decreased blood pressure and heart rate (32), and relaxation of the uterus (33). It also showed antiplatelet effects by inhibiting thrombin (34) and platelet activating factor (35). When given orally to mice, andrographis extract neutralized snake venom (9).
In other preclinical studies, activity against multiple myeloma cells may occur via TLR4/NF-kappaB signaling pathway inhibition (52). In human colorectal cancer cells, reversal of 5-FU resistance was attributed to elevated BAX expression (50). Migration and invasion was inhibited through suppression of mRNA and MMP-7 protein levels (13), while MMP-2 activity was also identified (14). Inhibition of IL-6 expression and IL-6-mediated signals occurred in human prostate cancer cells (12). In non-small cell lung cancer cells andrographolides reduced invasiveness by suppressing the PI3K/Akt/AP-1 signaling pathway and inhibiting MMP-7 expression (15). Apoptosis in human hepatoma cells occurred via c-Jun N-terminal kinase induction (16) and caspase activation (17). Decreased adhesion of gastric cancer cells to endothelial tissue was attributed to inhibition of E-selection expression (18). Inhibition of tumor cell growth may also occur by stimulating cytotoxic T-lymphocyte production via IL-2 and IFN-gamma secretion (19). Andrographolides also enhanced doxorubicin-induced cell death in several human cancer cell lines, mainly through JAK-STAT suppression (20).
In HIV patients, andrographolides inhibited HIV-induced cell-cycle dysregulation and increased CD4+ lymphocyte levels (10).",Aerial parts | Aerial parts,Indian Echinacea | Chuan Xin Lian | Chiretta | Kalmegh,Andrographolide | Andrographis Paniculata Extract,Andrographolide | Andrographis,Andrographis,
DSI003085,Os Draconis,,,,,,,Os Draconis,,,
DSI003086,Callicarpa pedunculata,C2643118,,,,Herb,,Callicarpa pedunculata,,,
DSI003087,Polianthes tuberosa,C1035280,,,,Flower,,Polianthes tuberosa,,,
DSI003088,Staphylococcus aureus,,,,,"Sourced from mixed culture of Staphylococcus epidermidis, Staphylococcus haemolyticus, and Staphy
lococcus simulans",,Staphylococcus aureus,,,
DSI003089,Streptococcus pyrogenes,,,,,From pure cultures of Streptococcus pyogenes free from antimicrobial agents,,Streptococcus pyrogenes,,,
DSI003090,Proteus vulgaris,,,,,Enterobacteria isolated from patients with gastroenteritis and urinary tract infections,,Proteus vulgaris,,,
DSI003091,Klebsiella pneumoniae,,,,,"Bacteria isolated from the bowel of man, soil, water",,Klebsiella pneumoniae,,,
DSI003092,Brucella melitensis,,,,,"Whole bacteria (from goat, sheep or man)",,Brucella melitensis,,,
DSI003093,pollen extract,C0770737,,,,Secale cereale (Rye) pollen extract | Zea mays,,pollen extract | Pollen extract,,,
DSI003094,Gypsum,,,,,Mineral,,Gypsum,Gypsum,,
DSI003095,Inula japonica,C2285202,,,,Flower,,Inula japonica,,,
DSI003096,5-methyl-2-isopropylcyclohexanol,C2698944,,,,Mentha spicata,,"(1R, 2S, 5R)-2-isopropyl-5-methylcyclohexanol",,,
DSI003097,Fritillaria ussuriensis,C1072746,,,,Bulb,,Fritillaria ussuriensis,,,
DSI003098,Zaocys dhumnades,,,,,Gall bladder,,Zaocys dhumnades,,,
DSI003099,Rhododendron dauricum,C3064047,,,,Whole plant,,Rhododendron dauricum,,,
DSI003100,Massa Fermentata,,,,,,,Massa Fermentata,,,
DSI003101,pinellia,C0950098,,,,Zingiber officinale - Rhizome juice,,Massa pinelliae fermentata,Pinellia Ternata | Pinellia,,
DSI003102,SD Alcohol 40B,C4733732,,,,,,SD Alcohol 40-B,,,
DSI003103,Dill,C2726147,,,,Seed(s),,Dill,Dill,,
DSI003104,Ginger,C2740621,"Derived from the rhizome of the plant, ginger is native to Asia and used as food and medicine. In traditional Chinese medicine, ginger is used to expel “cold”, “wind” and “dampness”, and is believed to stop the reverse flow of Qi (energy) . Western use has been primarily for gastrointestinal symptoms and respiratory ailments. Preclinical studies indicate that ginger has antiemetic , anticancer , anti-inflammatory , anti-drug-dependence , and hypoglycemic effects . It may also protect against Alzheimer’s disease . Ginger influences gastric emptying in healthy individuals and may promote feelings of satiety . Data suggest its effectiveness for treating dysmenorrhea , as well as moderate efficacy against osteoarthritic and chronic low back pain . As an adjunct to standard care, ginger may also be beneficial for treating migraine . Although clinical trials indicate that ginger can reduce nausea and vomiting, it should be avoided perioperatively due to anticoagulant/antiplatelet effects , and during pregnancy since animal studies highlight concerns regarding embryo development . Dietary ginger seems to be without these effects , although some studies suggest that high concentrations of fresh ginger have antiplatelet effects . In oncology settings, ginger may prevent chemotherapy-induced nausea and vomiting (CINV) , but a systemic review cited the need for further research . Another study suggested that adjuvant ginger supplementation may improve CIN-related quality of life and cancer-related fatigue . The bioactive compound 6-gingerol may also improve overall CINV, appetite, and quality of life . However other studies did not show benefit with ginger as an adjunct to CINV prophylaxis , or in patients receiving high-dose cisplatin except in female and head and neck cancer subgroups . Supplementation may have chemopreventive effects for those at increased risk for colon cancer with normal-appearing colonic mucosa . Larger studies are needed to confirm potential benefits of ginger supplementation for symptom control or for chemoprevention. Other studies report ginger aromatherapy to be useful in reducing nausea and vomiting in postoperative patients , but data on CINV are mixed .",,"Antiemetic actions are attributed to shogaol and gingerol compounds present in the rhizome, which stimulate flow of saliva, bile, and gastric secretions, and galanolactone, which can act as a competitive antagonist at serotonin 5-HT3 receptors (2) (22). Additional activities include stimulation of antral contractions, reduction of postprandial antral area, and acceleration of gastric emptying (13). Ginger inhibits thromboxane formation and platelet aggregation (43). However, these effects appear to be dose- and formulation-dependent (eg, dried, fresh, or extract) (31).
In vitro studies suggest that fresh ginger stimulates mucosal cells to secrete IFN-β to combat viral infection (32), while certain ginger preparations reduced lipopolysaccharide-induced secretion of IL-8 in human bronchial epithelial cells (8), and inhibited human telomerase reverse transcriptase and c-Myc expression in human lung cancer cells (44).
In other studies, gingerol induced apoptosis of gastric cancer cells through TRAIL-dependent caspase 3/7 activation (3) and inhibited cell-cycle progression by reducing cyclin D1 expression (4). It also inhibited secretion of angiogenic cytokines such as VEGF and IL-8 in ovarian cancer cells (5). In animal models, shogaol reduced tumor growth by damaging microtubules and by inducing mitotic arrest (3). Increased levels of circulating antioxidant and phase II enzymes and reduced lipid peroxidation levels are mechanisms by which ginger might protect against DMH-induced colon cancers (45).",Zingiber officinale - Rhizome,Ginger root | Shen jiang,Ginger,African Ginger | Ginger | Spiked Ginger Lily,Ginger,
DSI003105,Prepared Rehmanniae glutinosa,,,,,Root,,Prepared Rehmanniae glutinosa,,,
DSI003106,Collocalia esculenta L.,,,,,Secretion/Saliva,,Collocalia esculenta L.,,,
DSI003107,Gerbera piloselloides,C1009610,,,,Leaf | Whole plant(s),,Gerbera piloselloides (L.) Cass. | Gerbera piloselloides,,,
DSI003108,Vladimiria Soulei,,,,,Root,,Vladimiria Soulei,,,
DSI003109,Bromelia,C0997211,,,,Pineapple stem,,Bromelia ananas,,,
DSI003110,Spirulina maxima,,,,,Entire Algue,,Spirulina maxima,,,
DSI003111,Racemic Epinephrine,C0205758,,,,,,Racemic Epinephrine HCL,,,
DSI003112,Pituitarium posterium,,,,,Posterior lobe of pituitary gland of healthy domestic animals used for food by man,,Pituitarium posterium,,,
DSI003113,trisodium pyrophosphate,C0888193,,,,Sodium acid pyrophosphate,,Disodium pyrophosphate,,,
DSI003114,Tetrasodium pyrophosphate,C0074764,,,,Sodium Pyrophosphate | Tetrasodium Pyrophosphate,,"Tetrasodium pyrophosphate | Diphosphoric acid, tetrasodium salt",sodium pyrophosphate,,
DSI003115,Magnesium sulfate,C0024480,,,,,,Magnesium sulfate,,,
DSI003116,Mercurius sulphuratus ruber,,,,,Mixture of mercury(II) sulfide and sulfur,,Mercurius sulphuratus ruber,,,
DSI003117,Shark,C0677503,,,,,,Shark,Shark | Shark (unspecified) | Shark oil,,
DSI003118,Euphoria longan,,,,,Seed aril (dried),,Euphoria longan,,,
DSI003119,Eucalyptus,C1095804,,,,Leaf | Dried leaves of older twigs,,Eucalyptus spp. | Eucalyptus,Eucalyptus | Lemon Eucalyptus,,
DSI003120,Bos taurus domesticus,,,,,Gallstone,,Bos taurus domesticus,,,
DSI003121,Moschus berezovskii,,,,,Secretion(s),,Moschus berezovskii,,,
DSI003122,luffa cylindrica,C1706566,,,,Fruit,,Luffa cylindrica,,,
DSI003123,Lycopersicon,C0331205,,,,Fruit(s),,Lycopersicon lycopersicum,,,
DSI003124,Lactium acidum,,,,,,,Lactium acidum,,,
DSI003125,Chromic (III) chloride,,,,,,,Chromic (III) chloride,,,
DSI003126,Aluminum Sesquichlorohydrate,C1588587,,,,Aluminum sesquichlorohydrate,,Aluminum Sesquichlorohydrate,,,
DSI003127,Pulvis Fumi Carbonisatus,,,,,Soot,,Pulvis Fumi Carbonisatus,,,
DSI003128,Sus scrofa domestica,,,,,,,Sus scrofa domestica,,,
DSI003129,Sclerotium,C2700373,,,,,,Sclerotium Poriae Cocos,Sclerotium,,
DSI003130,Brassica napus,C0330502,,,,Seed(s),,Brassica napus,Canola | Turnip,,
DSI003131,Diosmin,C0012498,,,,Citrus sinensis - Fruit peel,,Diosmin,Diosmin,,
DSI003132,Smilax febrifuga,C5479102,,,,Root,,Smilax febrifuga,,,
DSI003133,Ornithine,C0029277,,,,,,Ornithine,Ornithine,,
DSI003134,Citerullus lanatus,,,,,Fruit,,Citerullus lanatus,,,
DSI003135,Sapindus mukorossi,C1020300,,,,Seed(s),,Sapindus mukorossi,Sapindus mukorossi,,
DSI003136,massa medicata fermentata,C4278784,,,,Xanthium sibiricum - whole plant,,Massa medicata fermentata,,,
DSI003137,Michelia champaca,C1187697,,,,Flower,,Michelia champaca,,,
DSI003138,Alum,C0330887,,,,Processed mineral of sulfates,,Alum,Alum | Spotted Geranium,,
DSI003139,Stephania sinica,C3943237,,,,Root tuber(s),,Stephania sinica,,,
DSI003140,Calculus bovis artifactus,,,,,Synthetic,,Calculus bovis artifactus,,,
DSI003141,Colla corii asini,,,,,Donkey-hide glue prepared from skin,,Colla corii asini,,,
DSI003142,Cornu bubali,,,,,Horn powder,,Cornu bubali,,,
DSI003143,Semen,C0036563,,,,Seed(s) | Seed(s) | Seed(s) | Seed(s) | Seed(s),,Semen sojae germinatum | Semen hordei vulgaris germinatum | Semen Oryzae | Semen Coicis | Semen Pharbitidis,Black Seed | Carry Me Seed | Semen,,
