DSI,Relation,D,Source,Interaction Rating,Source_Description
DSI000230,interacts_with,D000122,MSKCC,,Vitamins B3 and B6: Leucine can interfere with synthesis of these vitamins (9) (10) .
DSI000230,interacts_with,D000001,MSKCC,,PDE5 inhibitors (sildenafil): Animal models indicate leucine may have synergistic effects (40) . Clinical relevance is not known.
DSI004181,interacts_with,D000046,MSKCC,,Cardiac glycosides: Licorice may potentiate toxicity (24) .
DSI004181,interacts_with,D000022,MSKCC,,Diuretics : Licorice may increase the risk of hypokalemia (17) (18) .
DSI004181,interacts_with,D000034,MSKCC,,Insulin: Licorice may increase insulin sensitivity (38) . Clinical relevance is not known.
DSI004181,interacts_with,D000011,MSKCC,,Anticoagulants: Licorice may increase the metabolism and clearance of warfarin (19) . Clinical relevance is not known.
DSI004181,interacts_with,D000065,MSKCC,,Cyclosporine: Licorice greatly reduced the oral bioavailability of cyclosporine by activating P-gp and CYP3A4 (46) . Clinical relevance is not known.
DSI004181,interacts_with,D000123,MSKCC,,Cortisol acetate: Licorice increased cortisol availability in patients with Addison’s disease in the hours following oral administration of cortisone acetate (47) .
DSI004181,interacts_with,D000107,MSKCC,,"Metformin: Pre-administration of licorice juice reduced the efficacy of metformin, in a rat model (58) . The clinical relevance has yet to be determined."
DSI004181,interacts_with,D000016,MSKCC,,"Antihypertensives: Because of its hypertensive effects, licorice may interfere with antihypertensive medications (66) ."
DSI004181,interacts_with,D000001,MSKCC,,MAO-inhibitors: Licorice may potentiate activity of MAOIs. Clinical relevance is not known (37) .
DSI004181,interacts_with,D000023,MSKCC,,"P-glycoprotein substrates: Licorice inhibited P-gp, resulting in increased intracellular concentration of the chemotherapy agent daunorubicin, which is a substrate of P-gp (34) . Clinical relevance is not known."
DSI004181,interacts_with,D000124,MSKCC,,Phenprocoumon: Licorice use resulted in a sudden drop in INR values following an ischemic stroke in a 92-year-old female patient being treated with phenprocouman for stroke prevention. Her symptoms improved after continued treatment with phenprocoumon together with physio- and speech therapies (79) .
DSI001336,interacts_with,D000125,MSKCC,,
DSI007841,interacts_with,D000012,MSKCC,,
DSI006373,interacts_with,D000053,MSKCC,,
DSI006373,interacts_with,D000020,MSKCC,,
DSI004652,interacts_with,D000126,MSKCC,,
DSI000161,interacts_with,D000127,MSKCC,,
DSI000161,interacts_with,D000128,MSKCC,,
DSI000161,interacts_with,D000011,MSKCC,,
DSI000161,interacts_with,D000087,MSKCC,,
DSI000161,interacts_with,D000129,MSKCC,,
DSI000161,interacts_with,D000130,MSKCC,,
DSI000161,interacts_with,D000131,MSKCC,,
DSI000161,interacts_with,D000132,MSKCC,,
DSI000161,interacts_with,D000133,MSKCC,,
DSI000161,interacts_with,D000111,MSKCC,,
DSI000161,interacts_with,D000134,MSKCC,,
DSI000161,interacts_with,D000135,MSKCC,,
DSI000161,interacts_with,D000091,MSKCC,,
DSI000161,interacts_with,D000022,MSKCC,,
DSI000161,interacts_with,D000136,MSKCC,,
DSI000161,interacts_with,D000033,MSKCC,,
DSI000161,interacts_with,D000137,MSKCC,,
DSI000161,interacts_with,D000138,MSKCC,,
DSI000811,interacts_with,D000139,MSKCC,,"UDP-glucuronosyltransferase: Honokiol inhibited UGT1A9 in vitro, suggesting it may interfere with activities of drugs metabolized by this enzyme (41) . Clinical relevance is not known."
DSI000811,interacts_with,D000023,MSKCC,,P-Glycoprotein substrates: Honokiol downregulates P-gp expression (42) and may interfere with the metabolism of certain drugs. Clinical relevance is not known.
DSI000811,interacts_with,D000017,MSKCC,,"Antiplatelet agents: In animal studies, magnolol demonstrated antiplatelet activities (46) and may therefore increase bleeding risk when used with these drugs. Clinical relevance is not known."
DSI000811,interacts_with,D000115,MSKCC,,Benzodiazepines: Magnolia bark extract and honokiol may increase the effects of these medications (47) . Clinical relevance is not known
DSI007844,interacts_with,D000053,MSKCC,,
DSI007844,interacts_with,D000010,MSKCC,,
DSI001312,interacts_with,D000133,MSKCC,,"Calcineurin inhibitors (cyclosporine, tacrolimus): Isogarcinol isolated from Garcinia mangostana inhibits calcineurin. It may have additive immunosuppressant effects when used with related drugs. Clinical relevance is not known."
DSI001312,interacts_with,D000008,MSKCC,,"Cytochrome P450 substrates: Mangosteen inhibits CYP1A1, CYP1A2, CYP2E1 and CYP3A11, and can affect the intracellular concentration of drugs metabolized by these enzymes (25) . Gartanin, a constituent of mangosteen, down-regulated expression CYP2C9 and CYP2D6 and up-regulated expression of CYP2D6 (52) . Clinical significance of these interactions is not known."
DSI006641,interacts_with,D000000,MSKCC,,
DSI001908,interacts_with,D000080,MSKCC,,
DSI001908,interacts_with,D000113,MSKCC,,
DSI001908,interacts_with,D000011,MSKCC,,
DSI001908,interacts_with,D000140,MSKCC,,
DSI006563,interacts_with,D000020,MSKCC,,"Cytochrome P450 3A4 substrates: Milk thistle inhibits cytochrome P450 3A4 (4) and can affect the intracellular concentration of drugs metabolized by this enzyme. However, conflicting data indicate no such effects (13) (14) (38) . In another study, consumption of milk thistle did not reduce levels of indinavir, an AIDS drug (15) ."
DSI006563,interacts_with,D000074,MSKCC,,UGT (Uridine 5’-diphospho-glucuronosyltransferase) substrates: Milk thistle modulates UGT enzymes in vitro and can increase the side effects of drugs metabolized by them (26) (57) .
DSI006563,interacts_with,D000141,MSKCC,,"Sirolimus: Milk thistle may decrease clearance. Monitor therapy especially when combined with nivolumab, which may interfere with the potential to help prevent rejection of donor kidney in transplant patients (44) (45) ."
DSI006563,interacts_with,D000142,MSKCC,,Haloperidol or Risperidone: 7 cases of pancreatitis were reported following concomitant use of milk thistle (49)
DSI006563,interacts_with,D000143,MSKCC,,Aripiprazole: A case of hepatotoxicity was reported with combined use of milk thistle (49) .
DSI006563,interacts_with,D000053,MSKCC,,Warfarin: Concurrent use of a liver cleanse supplement which contained milk thistle led to an increase in INR from 2.64 to 4.12 in a man on warfarin therapy for mitral valve replacement. His INR normalized after stopping the supplement (52) .
DSI003894,interacts_with,D000020,MSKCC,,
DSI003894,interacts_with,D000053,MSKCC,,
DSI000282,interacts_with,D000008,MSKCC,,"Cytochrome P450 substrates, including CYP3A4: In preclinical models, moringa increased the bioavailability of rifampin (34) and inhibited CYP3A4 (35) . Clinical relevance has yet to be determined."
DSI000282,interacts_with,D000144,MSKCC,,"Sitagliptin: In an animal model, chronic co-administration with moringa decreased antihyperglycemic effects of sitagliptin (47) . Clinical relevance has yet to be determined."
DSI002722,interacts_with,D000053,MSKCC,,
DSI000192,interacts_with,D000145,MSKCC,,
DSI000192,interacts_with,D000000,MSKCC,,
DSI006707,interacts_with,D000032,MSKCC,,Aspirin: Nattokinase may increase the risk of intracerebral hemorrhage (14) .
DSI006707,interacts_with,D000146,MSKCC,,"Anticoagulant/antiplatelet/fibrinolytic drugs: Theoretically, nattokinase may increase the risk of bleeding. In a small study of healthy young men, enhanced fibrinolysis and antithrombosis after a single-dose of oral nattokinase occurred, although effects in this group were deemed to be within normal range (17) . Lab studies indicate nattokinase is a heparin-binding protein with a binding affinity of ~250 nM and the interaction is chain-length dependent. It also interfered in heparin interactions with antithrombin and fibroblast growth factors (18) ."
DSI006707,interacts_with,D000053,MSKCC,,"Warfarin: Nattō is rich in vitamin K. In addition, Bacillus subtilis bacteria in nattō continue synthesizing vitamin K in the intestine following consumption, which can reduce the effects of warfarin (15) ."
DSI006689,interacts_with,D000008,MSKCC,,
DSI000076,interacts_with,D000022,MSKCC,,Diuretics: Theoretically nettle may have an additive effect due to its diuretic activity (19) . Clinical relevance has yet to be determined.
DSI000076,interacts_with,D000016,MSKCC,,Hypotensives: Animal studies suggest nettle has hypotensive action and may enhance effects of hypotensive drugs (19) . Clinical relevance has yet to be determined.
DSI000016,interacts_with,D000147,MSKCC,,Carbamazepine: Increased levels of this drug have been reported in patients who also received nicotinamide (20) .
DSI000284,interacts_with,D000008,MSKCC,,Cytochrome P450 substrates: Nigella sativa inhibits CYP2D6 and CYP3A4 and can affect the intracellular concentration of drugs metabolized by these enzymes (24) . Clinical relevance is not known.
DSI000284,interacts_with,D000053,MSKCC,,Warfarin: Thymoquinone was shown to inhibit warfarin activity. Clinical significance is not known (48) .
DSI006721,interacts_with,D000148,MSKCC,,
DSI006721,interacts_with,D000149,MSKCC,,
DSI006721,interacts_with,D000061,MSKCC,,
DSI006721,interacts_with,D000013,MSKCC,,
DSI006721,interacts_with,D000074,MSKCC,,
DSI007849,interacts_with,D000091,MSKCC,,"Digoxin: Theoretically, cardiac glycosides in Nerium oleander may have an additive effect with digoxin, causing toxicity."
DSI007849,interacts_with,D000023,MSKCC,,P-glycoprotein (P-gp) substrates: Oleander leaf extract inhibits P-gp and may increase the blood levels of substrate drugs. (8)
DSI003616,interacts_with,D000016,MSKCC,,
DSI003616,interacts_with,D000087,MSKCC,,
DSI000049,interacts_with,D000053,MSKCC,,Warfarin: Elevated INR was reported following use of fish oil supplements (2 g/day). INR decreased after reducing supplement intake (34) . High dose omega-3 supplements have been associated with subdural hematoma [6g/day] requiring craniotomy (63) ; Irreversible warfarin-induced coagulopathy was reported following blunt head trauma (64) .
DSI000049,interacts_with,D000150,MSKCC,,Glucocorticoids: Omega-3 supplements potentiated some adverse effects of glucocorticoids in a murine model. Clinical relevance is not known (46) .
DSI000049,interacts_with,D000151,MSKCC,,Pazopanib: Concurrent use of an oral nutritional supplement enriched with omega-3 fatty acids has been associated with stomatitis/oral mucositis in a patient with metastatic clear cell renal cancer (86) .
DSI003993,interacts_with,D000152,MSKCC,,
DSI003993,interacts_with,D000115,MSKCC,,
DSI003993,interacts_with,D000153,MSKCC,,
DSI007851,interacts_with,D000017,MSKCC,,Anticoagulant/antiplatelet drugs: Pau d’arco may increase their activity. Clinical relevance is not known. (14) (10)
DSI000775,interacts_with,D000154,MSKCC,,Lovastatin: Pectin caused an increase in low-density lipoprotein in patients with hypercholesterolemia (10) .
DSI000775,interacts_with,D000155,MSKCC,,Carotenoid and alpha-tocopherol supplements : The absorption of these supplements is affected by pectin (12) .
DSI002207,interacts_with,D000053,MSKCC,,
DSI006799,interacts_with,D000013,MSKCC,,
DSI006799,interacts_with,D000156,MSKCC,,
DSI003638,interacts_with,D000157,MSKCC,,Felodipine: Peppermint oil has been reported to increase bioavailability of felodipine (Plendil) (28) . Clinical relevance has yet to be determined.
DSI003638,interacts_with,D000065,MSKCC,,"Cyclosporine: Peppermint oil increases the bioavailability of cyclosporine in rats (29) . However, a patient with renal transplant had decreased cyclosporine level after consumption of herbal tea containing peppermint (30) ."
DSI003638,interacts_with,D000008,MSKCC,,Cytochrome P450 substrates: Peppermint oil was shown to inhibit CYP1A2/2C8/2C9/2C19/2D6 and 3A4 enzymes and can affect the intracellular concentration of drugs metabolized by these enzymes (28) (31) (2) . Clinical relevance is not known.
DSI003638,interacts_with,D000158,MSKCC,,"5-fluorouracil: Peppermint oil, when applied externally, can increase dermal absorption of 5-fluorouracil (32) . Clinical significance is not known."
DSI003638,interacts_with,D000084,MSKCC,,Commonly used chemotherapy agents including docetaxel and cisplatin: A study reported minor to moderate HDIs with concurrent use of peppermint (62) .
DSI007854,interacts_with,D000087,MSKCC,,Antidiabetic drugs : An older animal study suggests P. alliacea may have additive hypoglycemic effects (10) . Clinical relevance has yet to be determined.
DSI007854,interacts_with,D000113,MSKCC,,"Cytochrome P450 1A2, 2C19 and 3A4 substrates : Dibenzyl trisulfide (DTS) isolated from Petiveria alliacea inhibits CYP1A2, CYP2C19, and CYP3A4 and may affect the blood levels of drugs metabolized by these enzymes (19) . Clinical relevance has yet to be determined."
DSI000577,interacts_with,D000017,MSKCC,,Anticoagulant and/or antiplatelet drugs: Pine bark extract can inhibit platelet aggregation and may increase risk of bleeding when used with these drugs (28) .
DSI002854,interacts_with,D000159,MSKCC,,"CYP3A substrates: Although studies in rats suggest that pomegranate juice may inhibit CYP3A activity similar to grapefruit juice (10) (11) , studies in humans did not show clinically relevant inhibition (12) (39) (40) ."
DSI002854,interacts_with,D000043,MSKCC,,"CYP2C9 substrates: A study in rats showed that pomegranate juice inhibited CYP2C9 activity and increased tolbutamide bioavailability (18) , but pomegranate juice and extract had no effect on CYP2C9 activity in humans (41) ."
DSI002854,interacts_with,D000053,MSKCC,,"Warfarin: According to a case report, pomegranate juice may interact with warfarin (20) ."
DSI002854,interacts_with,D000107,MSKCC,,"Metformin: In a rat model, pre-administration of pomegranate juice reduced metformin efficacy (32) . The clinical relevance in humans has yet to be determined."
DSI006906,interacts_with,D000026,MSKCC,,"Hepatic drug-metabolizing enzymes: In mice, administration of VSL3, a probiotic mixture of 8 bacterial strains, was shown to modify the expression of Cyp4v3, alcohol dehydrogenase 1, carboxyesterase 2a, and multiple phase II glutathione-S-transferases (57) . Human data are lacking."
DSI000228,interacts_with,D000053,MSKCC,,"Warfarin: A published case report described a probable interaction between warfarin and honeybee pollen, which caused an increase in the international normalized ratio (INR) (8) ."
DSI000277,interacts_with,D000011,MSKCC,,
DSI007856,interacts_with,D000000,MSKCC,,Antidepressants/Antipsychotics: Concurrent use may result in heightened or blunted psychedelic experience (33) .
DSI007856,interacts_with,D000013,MSKCC,,Serotonergic drugs: Simultaneous use may cause serotonin syndrome in which excessive serotonin signaling may potentially lead to life-threatening adverse reaction (28) .
DSI000587,interacts_with,D000020,MSKCC,,"Cytochrome P450 3A4 and 2C19 substrate drugs: Quercetin was shown to significantly inhibit the constitutive CYP3A4 and CYP2C19 activity, in vitro (11) (20) . Clinical relevance is not known."
DSI000587,interacts_with,D000126,MSKCC,,"Losartan: Following concomitant administration, quercetin increased the systemic exposure of losartan in a murine model. Clinical significance is not known (28) ."
DSI000587,interacts_with,D000035,MSKCC,,Tamoxifen: Quercetin significantly increased the bioavailability of tamoxifen in preclinical studies. Clinical relevance has yet to be determined (34) .
DSI000587,interacts_with,D000053,MSKCC,,Warfarin: A 79-year-old man on stable warfarin therapy for atrial fibrillation presented with elevated INR following quercetin supplementation. His INR normalized after discontinuing quercetin (35) .
DSI001468,interacts_with,D000011,MSKCC,,
DSI001468,interacts_with,D000026,MSKCC,,
DSI001468,interacts_with,D000096,MSKCC,,
DSI007133,interacts_with,D000070,MSKCC,,
DSI007133,interacts_with,D000023,MSKCC,,
DSI004703,interacts_with,D000021,MSKCC,,Immunosuppressants: Reishi can enhance immune response (8) .
DSI004703,interacts_with,D000008,MSKCC,,"Cytochrome P450 substrates: In vitro, reishi polysaccharides inhibited CYP2E1, CYP1A2, and CYP3A, and may affect the intracellular concentration of drugs metabolized by these enzymes (15) (53) . Clinical relevance is not known."
DSI003313,interacts_with,D000082,MSKCC,,"Antiplatelets: Although clinical relevance is yet to be determined, resveratrol inhibits platelet aggregation in vitro, so concurrent use with antiplatelet drugs may increase bleeding risk (70) (71) . Therefore, use of this supplement should be discussed with the treating physician."
DSI003313,interacts_with,D000147,MSKCC,,"Carbamazepine: In a murine model, Polygonum cuspidatum , an herbal supplement rich in resveratrol, increased carbamazepine blood levels due to CYP3A inhibition and multidrug resistance-associated protein 2 (40) . Clinical relevance has yet to be determined."
DSI004542,interacts_with,D000020,MSKCC,,"CYP3A4 substrates: In preclinical studies, rhodiola inhibits CYP3A4 and can affect the intracellular concentration of drugs metabolized by this enzyme (12) (21) . Clinical relevance is yet to be determined."
DSI004542,interacts_with,D000043,MSKCC,,"CYP2C9 substrates: Rhodiola modestly inhibits CYP2C9, and may affect drugs metabolized by this enzyme, particularly those with a narrow therapeutic index such as phenytoin and warfarin (23) ."
DSI004542,interacts_with,D000023,MSKCC,,"P-glycoprotein substrates: In preclinical studies, rhodiola was shown to inhibit P-gp activity and can interfere with the metabolism of certain drugs (12) (21) . Clinical relevance is yet to be determined."
DSI004542,interacts_with,D000000,MSKCC,,Antidepressants: Rhodiola has MAO inhibition activity and may increase serotonergic side effects (13) . Clinical relevance is yet to be determined.
DSI004542,interacts_with,D000016,MSKCC,,Antihypertensives: Rhodiola has MAO inhibition activity and may increase hypotensive side effects (13) . Clinical relevance is yet to be determined.
DSI004542,interacts_with,D000090,MSKCC,,CNS Stimulants: Rhodiola has MAO inhibition activity and may enhance the hypertensive effect (13) . Clinical relevance is yet to be determined.
DSI003588,interacts_with,D000091,MSKCC,,Digoxin: Potassium loss due to rhubarb’s laxative effect can increase risk of hypokalemia (9) .
DSI003588,interacts_with,D000160,MSKCC,,Melatonin: A study using human primary hepatocytes showed that concomitant use can cause metabolic disorder of melatonin (31) . Clinical relevance is not known.
DSI003588,interacts_with,D000065,MSKCC,,Cyclosporine: Rhubarb decreased bioavailability of cyclosporine in a murine model. Clinical relevance is not known (32) .
DSI003588,interacts_with,D000096,MSKCC,,Methotrexate: Rhubarb increased exposure to methotrexate in a murine model. Clinical relevance is not clear (33) .
DSI001876,interacts_with,D000159,MSKCC,,"CYP3A substrate drugs: In animal studies, rooibos tea induced CYP3A and may reduce serum levels of these substrate drugs (26) . Clinical relevance has yet to be determined."
DSI001876,interacts_with,D000028,MSKCC,,"Tacrolimus: In a 38-year-old woman with acute myeloid leukemia who underwent bone marrow transplantation, excessive rooibos tea consumption (more than 2 litres a day) reduced the concentration of tacrolimus, resulting in the development of graft-versus-host disease (29) ."
DSI000261,interacts_with,D000053,MSKCC,,"Warfarin: In a case report of elevated INR and subsequent bleeding, royal jelly was the only identified source of warfarin’s enhanced effects (18) ."
DSI000261,interacts_with,D000161,MSKCC,,Temozolomide: Lab studies suggest royal jelly may increase the cytotoxic effect of temozolomide (28) . Clinical relevance has yet to be determined.
DSI002820,interacts_with,D000162,MSKCC,,
DSI002820,interacts_with,D000163,MSKCC,,
DSI002820,interacts_with,D000000,MSKCC,,
DSI007385,interacts_with,D000008,MSKCC,,
DSI000000,interacts_with,D000011,MSKCC,,"Anticoagulants, antiplatelets: Saw palmetto may have additive anticoagulant effects, according to case reports (11) (21) (49) ."
DSI000000,interacts_with,D000033,MSKCC,,"Nonsteroidal anti-inflammatory drugs (NSAIDs): Saw palmetto may increase the risk of side effects with these drugs, according to a case report (21) ."
DSI000000,interacts_with,D000074,MSKCC,,UGT (Uridine 5’-diphospho-glucuronosyltransferase) substrates: Saw palmetto inhibits UGT enzymes in vitro and can increase the side effects of drugs metabolized by them (25) . Clinical relevance is not known.
DSI004598,interacts_with,D000113,MSKCC,,"CYP1A2, 3A4, and 3A5 substrates: In vitro studies suggest that lignans isolated from schisandra can inhibit CYP3A4 and CYP3A5 enzymes (41) . Animal studies suggest schisandra inhibits CYP3A4 and CYP1A2 and can affect the intracellular concentration of drugs metabolized by these enzymes. Long-term use can also induce CYP3A4 activity (33) (34) . Clinical relevance has yet to be determined."
DSI004598,interacts_with,D000023,MSKCC,,P-glycoprotein substrates: Lab and human studies suggest schisandra can inhibit P-gp activity and may interfere with the metabolism of certain drugs (35) (36) .
DSI004598,interacts_with,D000028,MSKCC,,"Tacrolimus: In liver transplant patients, schisandra increased blood levels of tacrolimus, an immunosuppressant (24) ."
DSI000199,interacts_with,D000011,MSKCC,,Anticoagulants / Antiplatelets: Lab studies suggest baicalin has antithrombotic activity (12) and may have additive effects. Clinical relevance has yet to be determined.
DSI000199,interacts_with,D000070,MSKCC,,"Statins: In healthy volunteers, baicalin decreased blood levels of statin drugs used to lower cholesterol (13) ."
DSI000199,interacts_with,D000039,MSKCC,,"SLC transporters: In vitro, baicalein, baicalin, and wogonin inhibited uptake of substrates mediated by essential solute carrier transporters, membrane proteins responsible for the cellular influx of various drugs (21) . Clinical relevance has yet to be determined."
DSI005228,interacts_with,D000011,MSKCC,,
DSI000497,interacts_with,D000022,MSKCC,,
DSI007861,interacts_with,D000164,MSKCC,,"S-1(Tegafur/gimeracil/oteracil): In a murine model, repeated doses of Shi Quan Da Bu Tang inhibited absorption of gimeracil, an inhibitor of 5-FU metabolism, leading to increased elimination and reduced plasma levels of 5-FU. Clinical relevance is not known (25) ."
DSI007862,interacts_with,D000165,MSKCC,,Interferon: Concurrent use may increase the risk of interstitial pneumonitis (3) .
DSI007862,interacts_with,D000013,MSKCC,,"CYP450 substrate drugs: Preclinical studies show that Sho-saiko-to upregulates CYP2B, CYP3A1, and CYP4A1 expression (19) , and can interact with drugs metabolized by CYP2C9 (20) . In healthy subjects, it reduced CYP1A2 activity (32) . Although clinical relevance has yet to be determined, patients should only use Sho-saiko-to under the close supervision of a qualified practitioner."
DSI007862,interacts_with,D000166,MSKCC,,"Tolbutamide: In an animal study, sho-saiko-to reduced tolbutamide bioavailability following concurrent oral administration (21) . Clinical relevance has yet to be determined."
DSI000170,interacts_with,D000091,MSKCC,,"Digoxin: In a case report, Siberian ginseng elevated serum digoxin levels (12) ."
DSI000153,interacts_with,D000020,MSKCC,,
DSI001018,interacts_with,D000167,MSKCC,,"Paclitaxel: In mice, S. flavescens flavonoids may enhance the effects of Taxol against certain tumors (16) . Clinical relevance has yet to be determined."
DSI001018,interacts_with,D000168,MSKCC,,"Ampicillin/gentamicin: In vitro, sophoraflavanone G may increase the activity of these antibiotics against oral bacteria (17) .  Clinical relevance has yet to be determined."
DSI007199,interacts_with,D000035,MSKCC,,
DSI007199,interacts_with,D000007,MSKCC,,
DSI007199,interacts_with,D000023,MSKCC,,
DSI007199,interacts_with,D000169,MSKCC,,
DSI007199,interacts_with,D000036,MSKCC,,
DSI001474,interacts_with,D000170,MSKCC,,"Antiandrogen drugs (bicalutamide, flutamide, abiraterone): In animal studies, S. acmella may increase testosterone levels (5) . Clinical relevance has yet to be determined."
DSI001474,interacts_with,D000022,MSKCC,,"Diuretics: In animal studies, S. acmella has loop diuretic activity (7) , and may have additive effects with other diuretic drugs."
DSI000093,interacts_with,D000013,MSKCC,,
DSI000093,interacts_with,D000171,MSKCC,,
DSI000093,interacts_with,D000029,MSKCC,,
DSI000093,interacts_with,D000080,MSKCC,,
DSI000093,interacts_with,D000172,MSKCC,,
DSI000093,interacts_with,D000104,MSKCC,,
DSI000093,interacts_with,D000084,MSKCC,,
DSI000093,interacts_with,D000053,MSKCC,,
DSI000093,interacts_with,D000089,MSKCC,,
DSI000093,interacts_with,D000173,MSKCC,,
DSI000093,interacts_with,D000174,MSKCC,,
DSI000093,interacts_with,D000175,MSKCC,,
DSI000093,interacts_with,D000176,MSKCC,,
DSI000093,interacts_with,D000068,MSKCC,,
DSI000093,interacts_with,D000177,MSKCC,,
DSI000093,interacts_with,D000178,MSKCC,,
DSI000093,interacts_with,D000179,MSKCC,,
DSI000093,interacts_with,D000070,MSKCC,,
DSI000093,interacts_with,D000180,MSKCC,,
DSI000093,interacts_with,D000181,MSKCC,,
DSI000093,interacts_with,D000182,MSKCC,,
DSI000093,interacts_with,D000096,MSKCC,,
DSI000093,interacts_with,D000183,MSKCC,,
DSI000093,interacts_with,D000184,MSKCC,,
DSI000093,interacts_with,D000185,MSKCC,,
DSI000093,interacts_with,D000186,MSKCC,,
DSI000093,interacts_with,D000091,MSKCC,,
DSI000093,interacts_with,D000187,MSKCC,,
DSI000093,interacts_with,D000188,MSKCC,,
DSI000093,interacts_with,D000189,MSKCC,,
DSI000093,interacts_with,D000108,MSKCC,,
DSI000093,interacts_with,D000190,MSKCC,,
DSI007242,interacts_with,D000191,MSKCC,,Verapamil: Animal studies suggest stevia may have additive antihypertensive effects (9) . Clinical relevance has yet to be determined.
DSI007242,interacts_with,D000087,MSKCC,,Antidiabetics: Animal studies suggest stevia may affect blood glucose levels (10) . Clinical relevance has yet to be determined.
DSI007864,interacts_with,D000192,MSKCC,,"Serotonin reuptake inhibitors: Because of its sedative effects, SZRT may interact with SRIs (17) ."
DSI007864,interacts_with,D000092,MSKCC,,"Monoamine oxidase inhibitors: Due to its sedative effects, SZRT may interact with MAOIs (18) ."
DSI002051,interacts_with,D000193,MSKCC,,"Isoniazid: In a double-blind safety trial of adults with HIV, a possible interaction between S. frutescens and isoniazid preventive therapy occurred, as 2 participants taking Sutherlandia developed tuberculosis despite taking isoniazid (1) ."
DSI002051,interacts_with,D000194,MSKCC,,"Atazanavir: In human subjects, Sutherlandia significantly reduced bioavailability of this antiretroviral protease inhibitor (17) ."
DSI000258,interacts_with,D000016,MSKCC,,"Antihypertensives: In a study of young patients with borderline hypertension, taurine supplementation reduced blood pressure (20) . Therefore it may also potentiate the hypotensive effects of these drugs."
DSI000067,interacts_with,D000016,MSKCC,,"Antihypertensive drugs : Tribulus has angiotensin converting enzyme (ACE)-inhibition activity and therefore, may have an additional hypotensive effect (2) (3) . Clinical relevance is not known."
DSI000067,interacts_with,D000087,MSKCC,,Antidiabetics : Tribulus may have additive hypoglycemic effects (8) . Clinical relevance is not known.
DSI000067,interacts_with,D000089,MSKCC,,Clopidogrel : May increase the risk of blood clots. Stent thrombosis has been reported in patients following concurrent use of clopidogrel and an herbal formula containing tribulus (23) .
DSI000067,interacts_with,D000023,MSKCC,,"P-glycoprotein (P-gp) substrate drugs : In vitro, saponins and phenolic compounds from Tribulus terrestris has been shown to inhibit P-gp activity. This may increase the risks of adverse effect of substrate drugs (48) . Clinical relevance is not known."
DSI000057,interacts_with,D000011,MSKCC,,
DSI000057,interacts_with,D000195,MSKCC,,
DSI000057,interacts_with,D000196,MSKCC,,
DSI000057,interacts_with,D000167,MSKCC,,
DSI000057,interacts_with,D000197,MSKCC,,
DSI000057,interacts_with,D000094,MSKCC,,
DSI000057,interacts_with,D000198,MSKCC,,
DSI000057,interacts_with,D000199,MSKCC,,
DSI000057,interacts_with,D000020,MSKCC,,
DSI000057,interacts_with,D000113,MSKCC,,
DSI000057,interacts_with,D000026,MSKCC,,
DSI000057,interacts_with,D000118,MSKCC,,
DSI000057,interacts_with,D000200,MSKCC,,
DSI000057,interacts_with,D000191,MSKCC,,
DSI000057,interacts_with,D000028,MSKCC,,
DSI000057,interacts_with,D000117,MSKCC,,
DSI000057,interacts_with,D000201,MSKCC,,
DSI000057,interacts_with,D000032,MSKCC,,
DSI000057,interacts_with,D000126,MSKCC,,
DSI007869,interacts_with,D000011,MSKCC,,
DSI000218,interacts_with,D000116,MSKCC,,
DSI000218,interacts_with,D000115,MSKCC,,
DSI000218,interacts_with,D000142,MSKCC,,
DSI000218,interacts_with,D000118,MSKCC,,
DSI000218,interacts_with,D000020,MSKCC,,
DSI000218,interacts_with,D000023,MSKCC,,
DSI000218,interacts_with,D000074,MSKCC,,
DSI002367,interacts_with,D000017,MSKCC,,Anticoagulants/antiplatelet agents: Vinpocetine may have additive effects and can increase risk of bleeding (13) (14) (26) .
DSI002367,interacts_with,D000069,MSKCC,,Antihypertensive agents: Vinpocetine may increase hypotensive effects (24) .
DSI002367,interacts_with,D000023,MSKCC,,P-glycoprotein substrates : In vitro studies indicate that vinpocetine strongly inhibits P-gp and may therefore alter the pharmacokinetics of substrate drugs (32) . Clinical relevance has yet to be determined.
DSI000011,interacts_with,D000177,MSKCC,,"Alcohol: Ethanol can compete with retinol for alcohol dehydrogenase, leading to reduced levels of retinol oxidation to retinaldehyde and retinoic acid (46) ."
DSI000011,interacts_with,D000053,MSKCC,,Warfarin: Large doses of vitamin A may increase the anticoagulant effects of warfarin (47) .
DSI000011,interacts_with,D000202,MSKCC,,"Orlistat: May reduce the absorption of vitamin A. Patients taking orlistat should take a multivitamin containing vitamins D, E, K, and beta-carotene once a day at least 2 hours before or after the administration orlistat (48) ."
DSI000011,interacts_with,D000203,MSKCC,,"Retinoids (tretinoin, acitretin, bexarotene): May increase risks of adverse effects. Avoid vitamin A supplements in excess of minimum recommended daily allowances when on these medications (49) ."
DSI000020,interacts_with,D000137,MSKCC,,
DSI000020,interacts_with,D000204,MSKCC,,
DSI000020,interacts_with,D000205,MSKCC,,
DSI000020,interacts_with,D000068,MSKCC,,
DSI000021,interacts_with,D000206,MSKCC,,
DSI000021,interacts_with,D000068,MSKCC,,
DSI000021,interacts_with,D000163,MSKCC,,
DSI000021,interacts_with,D000207,MSKCC,,
DSI000041,interacts_with,D000156,MSKCC,,
